Geo Point;Geo Shape;id_geofla;code_comm;insee_com;nom_comm;statut;x_chf_lieu;y_chf_lieu;x_centroid;y_centroid;z_moyen;superficie;population;code_cant;code_arr;code_dept;nom_dept;code_reg;nom_region;codgeo;reg;dep;cv;ze2010;libgeo;id_modif_g;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p;dens_poptt;dens_pop75
48.7146765875, 2.22881488083;"{""type"": ""Polygon"", ""coordinates"": [[[2.259350145073966, 48.70649437014232], [2.245001965969262, 48.707213962745094], [2.23453546376291, 48.70084188837401], [2.209710850465964, 48.70158848981471], [2.192794946986925, 48.71198122029821], [2.19347963409199, 48.718695966744626], [2.203462249301238, 48.721047684778995], [2.212902148744488, 48.728800786725174], [2.220793867963498, 48.72566845532729], [2.235449123822615, 48.72756217010282], [2.250559875712411, 48.72620987378741], [2.266836157460963, 48.718278739131605], [2.259350145073966, 48.70649437014232]]]}";25493;477;91477;PALAISEAU;Sous-préfecture;6448;68467;6432;68463;118;1168;30.3;22;3;91;ESSONNE;11;ILE-DE-FRANCE;91477;11;91;9122;1116;Palaiseau;ZZZZZZ;30316.0;30339.0;5575.0;6754.0;6215.0;5853.0;3596.0;2323.0;5698.0;6935.0;6845.0;5704.0;3444.0;1713.0;2595.5;198.9
48.5778313904, 2.22141176606;"{""type"": ""Polygon"", ""coordinates"": [[[2.226369144502724, 48.566758152647836], [2.220340907969717, 48.571999367468834], [2.211118362463292, 48.56961764575872], [2.198514645416659, 48.57566858296554], [2.199097780809747, 48.58008945635077], [2.213635778196262, 48.58251631846868], [2.234895693911889, 48.588969894759025], [2.240839035291491, 48.578392991324755], [2.238079101434062, 48.576135402816085], [2.226369144502724, 48.566758152647836]]]}";17404;207;91207;EGLY;Commune simple;6427;68314;6425;68311;74;398;5.3;01;3;91;ESSONNE;11;ILE-DE-FRANCE;91207;11;91;9101;1116;Égly;ZZZZZZ;5314.0;5212.0;1167.0;1064.0;1106.0;1036.0;627.0;314.0;1107.0;1188.0;1063.0;1079.0;510.0;266.0;1335.2;78.9
49.1427759123, 2.22801680604;"{""type"": ""Polygon"", ""coordinates"": [[[2.217447214248123, 49.124165543098364], [2.213416675847405, 49.126153327276946], [2.211687988047881, 49.14252415736852], [2.198464270371318, 49.15660691133808], [2.193067257045783, 49.165139358636765], [2.196877147467337, 49.16701698315611], [2.216360148420951, 49.154378053004436], [2.241582561481453, 49.15157253563064], [2.252897348076621, 49.146374494562394], [2.263612788640132, 49.13593883127251], [2.255738388217262, 49.131790375998115], [2.235042485081733, 49.130347855757314], [2.217447214248123, 49.124165543098364]]]}";24885;134;95134;CHAMPAGNE-SUR-OISE;Commune simple;6442;68931;6436;68939;75;940;4.7;03;3;95;VAL-D'OISE;11;ILE-DE-FRANCE;95134;11;95;9503;0056;Champagne-sur-Oise;ZZZZZZ;4685.0;4404.0;1010.0;857.0;1022.0;1052.0;526.0;218.0;933.0;849.0;1005.0;998.0;428.0;191.0;498.4;23.2
48.614191732, 2.26786916606;"{""type"": ""Polygon"", ""coordinates"": [[[2.268120878364412, 48.606180515209445], [2.264527959788996, 48.60413437755673], [2.256278550500383, 48.60718659681397], [2.257737304354836, 48.61336662311902], [2.263109576289466, 48.622035625069245], [2.276027550834055, 48.621970922948385], [2.282544095671401, 48.61773753300371], [2.268120878364412, 48.606180515209445]]]}";16948;333;91333;LEUVILLE-SUR-ORGE;Commune simple;6457;68354;6460;68351;58;249;4.1;01;3;91;ESSONNE;11;ILE-DE-FRANCE;91333;11;91;9101;1116;Leuville-sur-Orge;ZZZZZZ;4094.0;4147.0;918.0;770.0;958.0;945.0;354.0;150.0;1092.0;720.0;1128.0;799.0;286.0;122.0;1644.2;60.2
48.8215227089, 2.28739490768;"{""type"": ""Polygon"", ""coordinates"": [[[2.278179169818623, 48.814254149397975], [2.272566370808878, 48.814400009885716], [2.279395187834524, 48.8188933460069], [2.281272073214196, 48.825011473762935], [2.289399238300263, 48.828351779134024], [2.301320806267097, 48.82513028919109], [2.291556285820992, 48.81797669106366], [2.278179169818623, 48.814254149397975]]]}";29041;075;92075;VANVES;Chef-lieu canton;6477;68580;6476;68581;61;155;27.0;39;1;92;HAUTS-DE-SEINE;11;ILE-DE-FRANCE;92075;11;92;9239;1101;Vanves;ZZZZZZ;27022.0;26878.0;4736.0;5663.0;5979.0;5311.0;3220.0;2113.0;4575.0;5699.0;6160.0;5293.0;3031.0;2119.0;17433.5;1363.1
48.7916121645, 2.33153313164;"{""type"": ""Polygon"", ""coordinates"": [[[2.325812023214561, 48.781910980175645], [2.318696288355829, 48.78799561084715], [2.323937975769716, 48.80155240788763], [2.343851145549791, 48.797661059086735], [2.344196510771042, 48.79076454206328], [2.340232350383444, 48.78454580463315], [2.325812023214561, 48.781910980175645]]]}";16496;016;94016;CACHAN;Chef-lieu canton;6509;68548;6508;68548;62;278;28.2;05;3;94;VAL-DE-MARNE;11;ILE-DE-FRANCE;94016;11;94;9405;1101;Cachan;ZZZZZZ;28404.0;27590.0;5454.0;6191.0;5713.0;5459.0;3027.0;2559.0;4967.0;7002.0;5824.0;4638.0;3023.0;2137.0;10217.3;920.6
48.431521942, 2.34569131487;"{""type"": ""Polygon"", ""coordinates"": [[[2.332340006275144, 48.41206080709938], [2.32773589071624, 48.412790535671654], [2.32483682263181, 48.4249107666377], [2.328621284867114, 48.4334071696436], [2.330457473255044, 48.43996713007607], [2.34735280874437, 48.44590905566883], [2.353154601304004, 48.45135675797449], [2.361042047705547, 48.45112058532913], [2.36247914039292, 48.44860027883256], [2.361591411994979, 48.43930201614395], [2.373348908288655, 48.43411964287447], [2.360523564507347, 48.428167379803874], [2.350084515572068, 48.4163878722235], [2.339852554515987, 48.41646632060101], [2.332340006275144, 48.41206080709938]]]}";22289;639;91639;VAYRES-SUR-ESSONNE;Commune simple;6525;68148;6515;68147;93;846;0.9;11;1;91;ESSONNE;11;ILE-DE-FRANCE;91639;11;91;9111;1115;Vayres-sur-Essonne;ZZZZZZ;893.0;891.0;155.0;157.0;151.0;245.0;136.0;49.0;175.0;154.0;177.0;244.0;98.0;43.0;105.6;5.8
49.0019033624, 2.35030688962;"{""type"": ""Polygon"", ""coordinates"": [[[2.365690973859746, 48.988839401508656], [2.361984576626003, 48.98689537268372], [2.351150218229887, 48.99230465355855], [2.337479605121334, 48.99275150912589], [2.331567228684923, 49.00089278074963], [2.321031502952934, 49.0070383351059], [2.322304198203271, 49.0100669328042], [2.341871552243599, 49.00634511120445], [2.363450476008218, 49.0200397139379], [2.363647080160658, 49.009573854008444], [2.368364578756888, 48.99932960136394], [2.365690973859746, 48.988839401508656]]]}";14933;539;95539;SAINT-BRICE-SOUS-FORET;Commune simple;6529;68778;6524;68781;94;599;14.3;08;2;95;VAL-D'OISE;11;ILE-DE-FRANCE;95539;11;95;9508;0056;Saint-Brice-sous-Forêt;ZZZZZZ;14361.0;13696.0;3463.0;2938.0;3131.0;2779.0;1417.0;633.0;3202.0;3224.0;3039.0;2715.0;1069.0;448.0;2397.5;105.7
49.038600379, 2.36269120289;"{""type"": ""Polygon"", ""coordinates"": [[[2.363865819303777, 49.02184933378723], [2.354645957692169, 49.02661090884911], [2.340479931674323, 49.03843941447378], [2.351719170161092, 49.04198949430244], [2.351985943105786, 49.04472448654221], [2.369840801398961, 49.05452172109527], [2.382904573946702, 49.04201888646289], [2.374985603554155, 49.037428008001044], [2.363865819303777, 49.02184933378723]]]}";35777;229;95229;EZANVILLE;Commune simple;6532;68810;6534;68822;93;516;9.0;08;2;95;VAL-D'OISE;11;ILE-DE-FRANCE;95229;11;95;9508;0056;Ézanville;ZZZZZZ;9262.0;8951.0;1777.0;1796.0;1908.0;1981.0;1110.0;690.0;1647.0;1885.0;1883.0;1935.0;996.0;605.0;1795.0;133.7
49.085772994, 1.97486524588;"{""type"": ""Polygon"", ""coordinates"": [[[1.978613047633484, 49.069259518262754], [1.966668992452306, 49.06632486293274], [1.963282547650474, 49.0714302407871], [1.958744811233292, 49.07180465042483], [1.953222986701709, 49.07821305356477], [1.951176721750238, 49.08599136870009], [1.976431816126684, 49.097961574752254], [1.989016381484121, 49.10918197984287], [1.991133630382486, 49.10806679056886], [1.994071710831319, 49.10275924275342], [1.991496655038604, 49.08588678567786], [1.995076413018758, 49.08342597570345], [1.979823313377882, 49.07522259973857], [1.978613047633484, 49.069259518262754]]]}";28675;002;95002;ABLEIGES;Commune simple;6255;68883;6251;68878;90;791;0.9;27;3;95;VAL-D'OISE;11;ILE-DE-FRANCE;95002;11;95;9527;1119;Ableiges;ZZZZZZ;933.0;941.0;177.0;160.0;187.0;240.0;132.0;37.0;184.0;182.0;181.0;278.0;88.0;28.0;118.0;4.6
48.3183780775, 2.07369929257;"{""type"": ""Polygon"", ""coordinates"": [[[2.113716853702259, 48.30724786042637], [2.103783617854091, 48.306831145329916], [2.08754240275889, 48.29450593302569], [2.052708364877966, 48.29547390944907], [2.037179941801893, 48.297364122922836], [2.030569569588522, 48.31069907212199], [2.034811329129583, 48.32433846271299], [2.043787116219624, 48.33305813027665], [2.061831565321015, 48.34351378082351], [2.072970578741463, 48.3402183819592], [2.08744788499712, 48.343560954736795], [2.10294703525699, 48.34328346160978], [2.105052166285983, 48.33060375574424], [2.119967989396258, 48.327854297083974], [2.118765923125059, 48.323895380648054], [2.113716853702259, 48.30724786042637]]]}";17963;390;91390;MEREVILLE;Chef-lieu canton;6322;68020;6313;68024;129;2729;3.2;17;1;91;ESSONNE;11;ILE-DE-FRANCE;91390;11;91;9117;1114;Méréville;ZZZZZZ;3191.0;3160.0;592.0;457.0;628.0;726.0;493.0;294.0;594.0;509.0;650.0;752.0;400.0;255.0;116.9;10.8
48.7730783892, 2.07605207737;"{""type"": ""Polygon"", ""coordinates"": [[[2.101493757164683, 48.756491299905], [2.088237894717311, 48.75293689356643], [2.078589751864949, 48.753924202914924], [2.068432941986948, 48.75671468966292], [2.053735529899987, 48.76751858738698], [2.055380118501553, 48.77062573016662], [2.046455004967805, 48.77353201026418], [2.044366015178146, 48.77985644396086], [2.053611708429214, 48.79460891570294], [2.070251387007023, 48.789810622593734], [2.10547217490789, 48.780743322055635], [2.101493757164683, 48.756491299905]]]}";3886;297;78297;GUYANCOURT;Commune simple;6318;68526;6320;68529;156;1325;28.0;28;4;78;YVELINES;11;ILE-DE-FRANCE;78297;11;78;7828;1116;Guyancourt;ZZZZZZ;28245.0;28219.0;6487.0;6242.0;7058.0;5682.0;2142.0;633.0;6870.0;6607.0;7458.0;5466.0;1483.0;335.0;2131.7;47.7
48.7718338876, 2.12394286717;"{""type"": ""Polygon"", ""coordinates"": [[[2.12326852043986, 48.753523036067044], [2.106444270657045, 48.75735594591048], [2.101493757164683, 48.756491299905], [2.10547217490789, 48.780743322055635], [2.125014463768882, 48.78083407051925], [2.142014643567137, 48.79233514910206], [2.146395117801801, 48.79084648915705], [2.1458530946748, 48.77074026413794], [2.140552656680784, 48.7711789506292], [2.133318347136741, 48.765972861013076], [2.12326852043986, 48.753523036067044]]]}";21732;117;78117;BUC;Commune simple;6357;68529;6356;68527;149;804;5.3;29;4;78;YVELINES;11;ILE-DE-FRANCE;78117;11;78;7829;1116;Buc;ZZZZZZ;5245.0;5502.0;1082.0;880.0;1002.0;1164.0;776.0;341.0;1178.0;949.0;1138.0;1294.0;660.0;283.0;652.4;42.4
48.8410515899, 2.16026455161;"{""type"": ""Polygon"", ""coordinates"": [[[2.151465535500457, 48.82140868782746], [2.148475927847978, 48.828492685209355], [2.145872522607817, 48.83690143060998], [2.15003231597016, 48.846662407775476], [2.15986759327731, 48.847721196600006], [2.182605727070649, 48.85156614434391], [2.179811681931083, 48.845521204957684], [2.16734905813437, 48.84089323608299], [2.166622818791543, 48.83774033144329], [2.156419228745144, 48.83765981205499], [2.151465535500457, 48.82140868782746]]]}";15908;076;92076;VAUCRESSON;Commune simple;6378;68605;6383;68604;162;309;8.6;11;3;92;HAUTS-DE-SEINE;11;ILE-DE-FRANCE;92076;11;92;9211;1116;Vaucresson;ZZZZZZ;8612.0;8547.0;1727.0;1329.0;1577.0;1800.0;1238.0;941.0;1876.0;1267.0;1830.0;1773.0;1060.0;741.0;2787.1;304.5
48.817872351, 3.00613268677;"{""type"": ""Polygon"", ""coordinates"": [[[3.006927964882937, 48.78799490220032], [3.002463859600791, 48.793939936100934], [3.005446330583738, 48.80674680945762], [2.990496236739641, 48.80628788158095], [2.982491478470302, 48.8024826724427], [2.978389615779792, 48.81173642254612], [2.983178900031268, 48.8239683807179], [2.987956887387659, 48.83585826418432], [2.992793318346365, 48.83504025579668], [3.004428428662046, 48.84543669330286], [3.018134365901982, 48.84039914178774], [3.011062185545803, 48.83566949800216], [3.01255922549896, 48.82931101385605], [3.036335405679302, 48.818774797848825], [3.037436217458063, 48.81553678845013], [3.036981953062977, 48.808674837776174], [3.0227514216436, 48.805314783691735], [3.006927964882937, 48.78799490220032]]]}";10159;371;77371;POMMEUSE;Commune simple;7011;68573;7004;68575;104;1286;2.8;07;1;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77371;11;77;7707;1103;Pommeuse;ZZZZZZ;2844.0;2693.0;681.0;477.0;681.0;587.0;286.0;132.0;653.0;441.0;719.0;534.0;233.0;113.0;221.2;10.3
48.3656144275, 3.0952436577;"{""type"": ""Polygon"", ""coordinates"": [[[3.103418050565775, 48.3495141853995], [3.099602204539638, 48.35160474785164], [3.098776858108311, 48.3577503376521], [3.088840555543845, 48.35741632250987], [3.080611057630099, 48.36083202930174], [3.066701666498092, 48.3577187553751], [3.072873827288989, 48.36951000400698], [3.075178751818924, 48.37613920505889], [3.088353493243234, 48.37285528493743], [3.116824598439347, 48.37541272054052], [3.12246706688311, 48.36863242584789], [3.114747888220721, 48.36437564620567], [3.103418050565775, 48.3495141853995]]]}";25516;293;77293;MISY-SUR-YONNE;Commune simple;7066;68066;7070;68072;74;629;1.0;20;3;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77293;11;77;7720;1106;Misy-sur-Yonne;ZZZZZZ;983.0;929.0;244.0;158.0;224.0;164.0;143.0;48.0;232.0;120.0;223.0;165.0;127.0;63.0;156.3;7.7
48.5549428354, 3.15134604553;"{""type"": ""Polygon"", ""coordinates"": [[[3.186885064501813, 48.53525833646174], [3.16168076682003, 48.53203883959819], [3.138278544435336, 48.538203414674925], [3.133333720931152, 48.54333657598317], [3.134462255418272, 48.550216935394275], [3.119433295822355, 48.572739682000936], [3.12469952853176, 48.57563079641134], [3.167690433863875, 48.577350069294916], [3.16558819866267, 48.57273837479349], [3.16646128189292, 48.56595459615923], [3.160009584774249, 48.55696795428792], [3.168207591164804, 48.54841985792996], [3.177836654341315, 48.54720943486005], [3.184240693459012, 48.5421081643068], [3.186885064501813, 48.53525833646174]]]}";10598;272;77272;MAISON-ROUGE;Commune simple;7111;68287;7111;68283;141;1389;0.9;23;3;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77272;11;77;7723;1105;Maison-Rouge;ZZZZZZ;893.0;758.0;221.0;171.0;220.0;184.0;65.0;32.0;192.0;144.0;190.0;151.0;54.0;28.0;64.3;2.3
48.8045983956, 3.19433416433;"{""type"": ""Polygon"", ""coordinates"": [[[3.162623590090388, 48.78801036105314], [3.165252722845884, 48.818792036852294], [3.188294823141907, 48.807129266128285], [3.19314620825044, 48.80823673628725], [3.201635847856696, 48.824060384293475], [3.210954461340267, 48.82461989302912], [3.220693511130491, 48.83114057338199], [3.224576124614815, 48.82171716365727], [3.214540208489348, 48.79569004733155], [3.217985038770462, 48.78935220951746], [3.178427200953466, 48.78838353568196], [3.162623590090388, 48.78801036105314]]]}";6366;436;77436;SAINT-SIMEON;Commune simple;7149;68554;7142;68560;118;1296;0.9;11;3;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77436;11;77;7711;1103;Saint-Siméon;ZZZZZZ;874.0;823.0;185.0;140.0;178.0;201.0;117.0;53.0;187.0;132.0;186.0;171.0;99.0;48.0;67.4;4.1
48.4610681498, 3.18563257802;"{""type"": ""Polygon"", ""coordinates"": [[[3.186456628371821, 48.445235941382755], [3.178370830398149, 48.44935068565389], [3.167084602839814, 48.46813323793783], [3.194450317840257, 48.475027604085476], [3.201441397162057, 48.459920369943184], [3.198839566564719, 48.45506678456041], [3.186456628371821, 48.445235941382755]]]}";35959;263;77263;LUISETAINES;Commune simple;7132;68185;7137;68178;70;508;0.2;10;3;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77263;11;77;7710;1108;Luisetaines;ZZZZZZ;238.0;225.0;66.0;33.0;52.0;43.0;27.0;17.0;55.0;26.0;59.0;43.0;24.0;19.0;46.9;3.4
48.7742365844, 2.82602108151;"{""type"": ""Polygon"", ""coordinates"": [[[2.811794650872295, 48.74837249404037], [2.795820787556885, 48.75704350871978], [2.801960100311098, 48.76664144256602], [2.813011252455827, 48.77324280696983], [2.803116527104884, 48.781078559477876], [2.796234512083132, 48.79393713718286], [2.812756082333419, 48.79506139896914], [2.815401942254143, 48.79750281217838], [2.832128282433762, 48.79046739635598], [2.847385175544005, 48.79105446051477], [2.852786520739573, 48.79677225264392], [2.857892353099355, 48.79645465907432], [2.862063175525255, 48.79448992231603], [2.857219696346011, 48.7885573563323], [2.857360906770931, 48.781713246801964], [2.84752834583345, 48.7746679118974], [2.848929943956332, 48.75585434211747], [2.845576645986877, 48.75824246200864], [2.835810859452754, 48.75782470479213], [2.82579576864224, 48.750633268054706], [2.811794650872295, 48.74837249404037]]]}";33682;336;77336;NEUFMOUTIERS-EN-BRIE;Commune simple;6876;68521;6872;68526;117;1622;1.0;27;3;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77336;11;77;7727;1117;Neufmoutiers-en-Brie;ZZZZZZ;972.0;977.0;203.0;204.0;219.0;243.0;70.0;33.0;242.0;219.0;261.0;176.0;49.0;30.0;59.9;2.0
48.3272635099, 2.84591675983;"{""type"": ""Polygon"", ""coordinates"": [[[2.859227638601385, 48.31161592695793], [2.808424583052446, 48.32118960381081], [2.815820725491121, 48.33177296587247], [2.84382955824396, 48.34176395631545], [2.85330897380568, 48.33977873632452], [2.870936252571521, 48.344162807895465], [2.877032866341265, 48.33994969558289], [2.868451761184562, 48.333840477555306], [2.870495226823398, 48.31496675245825], [2.868776345832427, 48.31188781653772], [2.859227638601385, 48.31161592695793]]]}";27470;501;77501;VILLECERF;Commune simple;6886;68030;6885;68030;89;1092;0.7;21;4;77;SEINE-ET-MARNE;11;ILE-DE-FRANCE;77501;11;77;7721;1105;Villecerf;ZZZZZZ;704.0;801.0;127.0;108.0;115.0;180.0;131.0;43.0;141.0;149.0;145.0;231.0;86.0;49.0;64.5;3.9
